timestamp,type,funding_rate,funding_pctile,crowd_direction,expected_price_direction,adx,regime,mfe_pct,mae_pct,time_to_reversal_bars,time_to_continuation_bars,reversal_happened_first,reversion_pct,price_at_horizon_pct
2025-10-31 16:00:00.007,HIGH_EXTREME,0.0001,p90+,LONG,DOWN,29.505078752252683,trending,0.013651346313015214,0.0014589703295788258,3.0,8.0,True,11.81846308821447,0.0014589703295788258
2025-11-09 00:00:00.004,LOW_EXTREME,-1.64e-05,p10-,SHORT,UP,31.27216936911603,trending,0.0005284490367855565,0.007732661298680459,11.0,,True,1.0208573256557563,-0.0009256901906171656
2025-11-11 00:00:00.007,LOW_EXTREME,2.818e-05,p10-,SHORT,UP,23.90006199893398,neutral,0.013498340209406398,0.011075338541593009,10.0,4.0,False,10.541063446527493,-0.0065177810435586075
2025-11-11 08:00:00.000,LOW_EXTREME,-2.775e-05,p10-,SHORT,UP,22.47368834551676,neutral,0.005988367120088406,0.018754459688610618,281.0,9.0,False,0.012065361960896429,-0.017224183963400804
2025-11-12 00:00:00.000,LOW_EXTREME,2.462e-05,p10-,SHORT,UP,19.597213143233613,neutral,0.0197638196070447,0.0036807686527731264,11.0,2.0,False,19.32332584269664,0.017991400163852606
2025-11-12 08:00:00.002,LOW_EXTREME,6.87e-06,p10-,SHORT,UP,18.24388899856258,neutral,0.020946514656704628,0.021807111201250062,457.0,6.0,False,0.0539241857982136,-0.018371802137831638
2025-11-13 00:00:00.002,LOW_EXTREME,1.077e-05,p10-,SHORT,UP,16.143841358866734,neutral,0.023220238081769023,0.006983741071589237,23.0,7.0,False,17.36513659686582,0.013515902633161136
2025-11-13 08:00:00.000,HIGH_EXTREME,9.352e-05,p90+,LONG,DOWN,15.177742978996136,neutral,0.05089774902123808,0.002466317992763309,25.0,2.0,False,36.52342433434661,-0.04813994654765704
2025-11-14 08:00:00.000,HIGH_EXTREME,9.126e-05,p90+,LONG,DOWN,21.580478510835913,neutral,0.025614558846648282,0.004061282872449696,19.0,5.0,False,9.461975375824625,-0.014015173392625844
2025-11-14 16:00:00.001,HIGH_EXTREME,9.078e-05,p90+,LONG,DOWN,25.620371341590396,trending,0.02632030893233314,0.007120668467792589,24.0,3.0,False,12.35897664865821,-0.0032078028464465115
2025-11-15 08:00:00.000,HIGH_EXTREME,0.0001,p90+,LONG,DOWN,30.33926082513443,trending,0.006658143854565407,0.0025273303971129935,357.0,1.0,False,5.558214932774152,-0.002244876284475188
2025-11-16 08:00:00.000,HIGH_EXTREME,0.0001,p90+,LONG,DOWN,33.88688130777868,trending,0.024257911589803373,0.004592568719590801,111.0,2.0,False,11.325338525533448,-0.022559986692726745
2025-11-17 00:00:00.003,HIGH_EXTREME,0.0001,p90+,LONG,DOWN,36.394161293843865,trending,0.004529414885151963,0.01865418280197337,7.0,15.0,True,4.7458980433446865,0.01314466076070232
2025-11-17 08:00:00.003,HIGH_EXTREME,9.568e-05,p90+,LONG,DOWN,35.507949317291946,trending,0.04408058992098113,0.0036188008305889758,15.0,47.0,True,25.596442111403146,-0.04408058992098113
2025-11-18 00:00:00.002,HIGH_EXTREME,0.0001,p90+,LONG,DOWN,39.95461859308509,trending,0.02984487034983518,0.002202387663417158,2.0,26.0,True,24.69552856035006,-0.007380537885657864
2025-11-21 16:00:00.001,LOW_EXTREME,2.642e-05,p10-,SHORT,UP,43.838864534363005,trending,0.030197057960406316,0.006446644150254462,1.0,20.0,True,15.964955223880626,0.01809199668277257
2025-11-22 00:00:00.004,LOW_EXTREME,1.373e-05,p10-,SHORT,UP,46.51344772644488,trending,0.0046770580141994806,0.01845000112197697,27.0,2.0,False,1.9282405938709624,-0.011935602985093302
2025-11-23 08:00:00.008,LOW_EXTREME,1.53e-06,p10-,SHORT,UP,47.39980894800327,trending,0.02061051982692596,0.0007212395259286749,,10.0,False,,0.017495705923374804
2025-11-23 16:00:00.003,LOW_EXTREME,-8.93e-06,p10-,SHORT,UP,43.278578214217895,trending,0.010608324459299968,0.013016881361270168,19.0,3.0,False,11.42958700067764,0.0037422443549555546
2025-11-24 00:00:00.004,LOW_EXTREME,-6e-08,p10-,SHORT,UP,39.15750108114951,trending,0.014785780737347433,0.011720753717169647,3.0,38.0,True,11.634546811510369,-0.00613558824502649
2025-11-24 08:00:00.000,LOW_EXTREME,-1.34e-06,p10-,SHORT,UP,36.63267538432747,trending,0.021751436508404744,0.018485868203697013,4.0,482.0,True,20.83718002517679,0.016911175920931564
2025-11-25 00:00:00.000,LOW_EXTREME,-5.29e-05,p10-,SHORT,UP,29.432015163545785,trending,0.002494471113999613,0.017961189084105635,1.0,292.0,True,3.1412176619333647,-0.010141380178086917
2025-11-25 16:00:00.007,LOW_EXTREME,-3.019e-05,p10-,SHORT,UP,24.246174301661394,neutral,0.013314074305731186,0.009661875156325418,4.0,20.0,True,12.97014771201353,0.0020298037741459073
2025-11-26 16:00:00.000,LOW_EXTREME,-4.19e-06,p10-,SHORT,UP,19.51317318699372,neutral,0.05548556459994175,-0.0,,3.0,False,,0.04632805186572974
2025-11-27 00:00:00.013,LOW_EXTREME,-2.599e-05,p10-,SHORT,UP,20.509561229534253,neutral,0.015662827050366788,0.003589119238848537,4.0,49.0,True,15.162202678393365,0.010499212752470573
2025-11-28 16:00:00.008,LOW_EXTREME,-1.703e-05,p10-,SHORT,UP,22.81614710369305,neutral,8.395613454681302e-05,0.021314553481359296,4.0,,True,0.04911128560204348,-0.016375459643566057
2025-11-29 00:00:00.000,LOW_EXTREME,-1.982e-05,p10-,SHORT,UP,21.527957889206863,neutral,0.0023566432227468993,0.005379366078819083,151.0,73.0,False,1.4373227453204316,-0.002474827515856489
2025-11-30 00:00:00.003,HIGH_EXTREME,6.082e-05,p90+,LONG,DOWN,17.1198007275374,neutral,0.00391212471328682,0.008025272043819804,16.0,186.0,True,4.229371137768278,0.0026927783230243146
